test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
10,U,7,30,not sure,0.19791666666666666,NotFamousW1.png,0,U,N
10,U,1,70,trump,0.19791666666666666,Donald Trump.jpg,0,Y,Y
10,U,9,35,not sure,0.19791666666666666,Britney Spears.jpg,0,U,Y
10,U,1,45,not sure,0.09375,Michelle Obama.jpg,0,U,Y
10,U,1,50,not sure,0.09375,NotFamousM2.png,0,U,N
10,U,1,60,obama,0.09375,Barack Obama.jpg,0,Y,Y
10,U,1,60,not sure,0.09375,NotFamousM4.png,0,U,N
11,Y,1,60,donald trump,0.171875,Donald Trump.jpg,0.9849998950958252,Y,Y
11,U,9,25,not sure,0.171875,Britney Spears.jpg,0,U,Y
11,N,9,34,blank,0.171875,NotSoFamouse.jpg,0.624000072479248,U,N
11,N,9,40,blank,0.171875,NotFamousW3.png,1.2950000762939453,U,N
11,N,1,55,blank,0.14583333333333331,Jim Carrey.jpg,1.623000144958496,U,Y
11,Y,1,30,elvis presly,0.14583333333333331,Elvis Presley.jpg,1.185999870300293,Y,Y
11,N,1,32,blank,0.14583333333333331,NotFamousM1.png,1.6070001125335693,U,N
11,Y,1,60,billclinton,0.14583333333333331,DavidBlookAlike.jpg,1.1549999713897705,N,N
11,Y,1,40,not sure,0.06770833333333331,Angelina Jolie.jpg,1.247999906539917,U,Y
11,Y,9,34,not sure,0.06770833333333331,StylistlookAlike.jpg,1.1389999389648438,U,N
11,Y,9,25,not sure,0.06770833333333331,Beyonce Knowles.jpg,0.8899998664855957,U,Y
11,N,1,50,blank,0.06770833333333331,NotFamousM2.png,1.3880000114440918,U,N
11,Y,1,65,not sure,0.11979166666666666,Steve Jobs.jpg,1.1729998588562012,U,Y
11,N,9,23,blank,0.11979166666666666,Christina Aguilera.jpg,0.9360001087188721,U,Y
11,N,7,30,blank,0.11979166666666666,KlookAlike.jpg,1.0140001773834229,U,N
11,N,1,30,blank,0.11979166666666666,NotFamousM3.png,0.9509999752044678,U,N
11,N,9,25,blank,0.22395833333333334,NotFamousW5.png,1.2319998741149902,U,N
11,N,1,30,blank,0.22395833333333334,NotFamousM5.png,0.939000129699707,U,N
11,N,8,34,blank,0.22395833333333334,Miley Cyrus.jpg,0.7799999713897705,U,Y
11,N,8,29,blank,0.22395833333333334,Oprah Winfrey.jpg,0.9039998054504395,U,Y
11,Y,2,45,barack obama,0.09375,Barack Obama.jpg,1.1700000762939453,Y,Y
11,N,2,40,blank,0.09375,maleNotFamouse.jpg,1.2639999389648438,U,N
11,N,2,30,blank,0.09375,NotFamousLookAlike.jpg,1.2009999752044678,U,N
11,N,5,30,blank,0.09375,Michael Jackson.jpg,0.874000072479248,U,Y
11,N,8,24,blank,0.19791666666666666,NotFamousW2.png,1.065999984741211,U,N
11,N,2,30,blank,0.19791666666666666,NotFamousM4.png,0.9820001125335693,U,N
11,Y,9,45,michelle obama,0.19791666666666666,Michelle Obama.jpg,1.1540000438690186,Y,Y
11,Y,2,30,not sure,0.19791666666666666,Justin Bieber.jpg,1.373000144958496,U,Y
11,Y,1,65,albert einstein,0.25,Albert Einstein.jpg,1.0769999027252197,Y,Y
11,N,8,37,blank,0.25,NotFamousW4.png,0.7960000038146973,U,N
